compute_processes,cpu_percent,full_sample_ns,gpu_clock_mhz,gpu_memory_bytes,gpu_memory_util_percent,gpu_power_w,gpu_temp_c,gpu_util_percent,major_faults,minor_faults,monotonic_ns,pids,process_swap_bytes,pss_bytes,read_bytes,rss_bytes,swap_in_bytes,swap_out_bytes,swap_used_bytes,system_anon_bytes,system_available_bytes,system_cached_bytes,system_cpu_percent,system_mlocked_bytes,system_sreclaimable_bytes,system_total_bytes,system_used_bytes,time_s,uss_bytes,vmhwm_bytes,vms_bytes,write_bytes
"[{""pid"": 2622421, ""bytes"": 20468203520}]",89.4,2150297911025343,2415,21073625088,0,147.502,62,0,1264,13497038,2150298733801489,"[2622421, 2627614]",0,33559279616,41711722496,33598914560,16965836800,32445517824,434962432,32957300736,159840968704,6748827648,3.4,28299264,2384228352,200083849216,40242880512,0.076660793,33532305408,55925157888,242805010432,18219008
"[{""pid"": 2622421, ""bytes"": 20468203520}]",109.9,2150297911025343,2415,21073625088,0,147.502,62,0,1264,13497338,2150298833922942,"[2622421, 2627614]",0,33559279616,41711722496,33600487424,16965836800,32445517824,434962432,32959516672,159840407552,6749327360,4.1,28299264,2384232448,200083849216,40243441664,0.176782246,33532305408,55925157888,242889986048,18489344
"[{""pid"": 2622421, ""bytes"": 20468203520}]",109.8,2150298934051207,2415,21069430784,0,147.502,62,0,1264,13497858,2150298934051207,"[2622421, 2627614]",0,32928410624,41711722496,33232359424,16965836800,32445517824,434962432,31538892800,161016123392,6750425088,4.2,28299264,2384302080,200083849216,39067725824,0.276910511,32905506816,55925157888,242932473856,18862080
"[{""pid"": 2622421, ""bytes"": 20468203520}]",134.2,2150298934051207,2415,21069430784,0,147.502,62,0,1265,13497933,2150299067555117,"[2622421, 2627614, 2627645]",0,32928410624,41711722496,31916945408,16965836800,32445517824,434962432,31252021248,161302474752,6750425088,15.0,28299264,2384302080,200083849216,38781374464,0.410414421,32905506816,55925157888,243680055296,19902464
"[{""pid"": 2622421, ""bytes"": 8422162432}]",150.8,2150298934051207,2842,9050652672,0,171.244,64,0,1267,13498499,2150299167672923,"[2622421, 2627614, 2627650]",0,32928410624,41711722496,28139720704,16965836800,32445517824,434962432,27482382336,165152010240,6753808384,8.5,28299264,2384371712,200083849216,34931838976,0.510532227,32905506816,55925157888,198264954880,22380544
"[{""pid"": 2622421, ""bytes"": 1811939328}]",179.8,2150298934051207,2842,2406875136,0,171.244,64,0,1268,13498789,2150299267775250,"[2622421, 2627614]",0,32928410624,41711722496,22483587072,16965836800,32445517824,434962432,21843308544,170915581952,6755135488,7.2,28299264,2384449536,200083849216,29168267264,0.610634554,32905506816,55925157888,163904765952,23941120
"[{""pid"": 2622421, ""bytes"": 1811939328}]",188.9,2150298934051207,2842,2406875136,0,171.244,64,0,1269,13499177,2150299367907172,"[2622421, 2627614]",0,32928410624,41711722496,15352012800,16965836800,32445517824,434962432,14671159296,178272092160,6757490688,6.2,28299264,2384502784,200083849216,21811757056,0.710766476,32905506816,55925157888,163904765952,25767936
"[{""pid"": 2622421, ""bytes"": 1811939328}]",190.2,2150298934051207,2842,2354446336,0,171.244,64,0,1271,13499703,2150299468027273,"[2622421, 2627614]",0,32928410624,41711722496,8262782976,16965836800,32445517824,434962432,7589941248,185485885440,6758797312,6.8,28299264,2384543744,200083849216,14597963776,0.810886577,32905506816,55925157888,121945071616,27566080
"[{""pid"": 2622421, ""bytes"": 830472192}]",387.2,2150298934051207,2842,1362493440,0,171.244,64,0,1275,13500936,2150299568429564,"[2622421, 2627614]",0,32928410624,41711722496,6168662016,16965836800,32445517824,434962432,6291214336,186854260736,6763593728,13.1,28299264,2384588800,200083849216,13229588480,0.911288868,32905506816,55925157888,51279163392,32141312
"[{""pid"": 2622421, ""bytes"": 830472192}]",482.2,2150298934051207,2872,1362493440,1,204.251,64,2,1278,13501775,2150299668548722,"[2622421, 2627614]",0,32928410624,41711726592,6169423872,16965836800,32445517824,434962432,6291906560,186855542784,6767386624,15.1,28299264,2384752640,200083849216,13228306432,1.011408026,32905506816,55925157888,68522135552,35495936
