Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.8,73624961680,2108,34926452.4,12168.0,671,408597787,110394734.0,cudaStreamSynchronize
14.2,13628696078,286669,47541.6,2715.0,1764,1099098,127497.4,cudaLaunchKernel
2.7,2604355989,59689,43632.1,2584.0,1793,1083178,138750.2,cuLaunchKernel
2.1,2013921274,1055,1908930.1,952632.0,60494,85194364,5185308.2,cudaHostRegister
1.8,1760286081,64,27504470.0,3060.5,862,387880547,94975201.7,cuCtxSynchronize
1.0,945269222,5553,170226.8,8767.0,1533,628009901,8430542.4,cudaMemcpyAsync
0.6,527286434,1146,460110.3,279846.0,19146,11671720,568789.8,cuMemHostUnregister
0.3,292158072,1145,255159.9,48230.0,13715,75066067,2767718.1,cuMemSetAccess
0.1,83023075,59727,1390.0,131.0,90,586814,23160.3,cudaMemsetAsync
0.1,75289643,1140,66043.5,63695.0,13615,401786,21982.5,cuMemUnmap
0.1,56020283,1145,48926.0,13204.0,5671,1430983,98030.6,cuMemCreate
0.0,36975276,164,225459.0,31394.0,21912,4142735,603910.1,cudaFree
0.0,36839795,1627,22642.8,18104.0,2194,93255,17459.0,cuMemcpyHtoDAsync_v2
0.0,36109263,286669,126.0,91.0,60,11952,117.0,cuKernelGetName
0.0,31373449,1158,27092.8,25658.0,14577,479752,16641.8,cuMemRelease
0.0,27717578,164,169009.6,40035.5,32191,6354936,621058.1,cudaMalloc
0.0,22103694,59689,370.3,290.0,171,11752,361.8,cuKernelGetFunction
0.0,11772793,2895,4066.6,2234.0,461,233650,7679.5,cudaEventRecordWithFlags
0.0,9071425,2895,3133.5,1983.0,511,21109,2959.3,cudaStreamWaitEvent
0.0,8960644,10419,860.0,330.0,140,20368,1850.6,cudaStreamIsCapturing
0.0,7066888,2895,2441.1,1292.0,301,42319,3324.6,cudaEventCreateWithFlags
0.0,4400765,1145,3843.5,1513.0,360,31630,4012.0,cuMemMap
0.0,4328521,2895,1495.2,942.0,250,52138,1694.6,cudaEventDestroy
0.0,3858607,1499,2574.1,2334.0,1963,10650,921.7,cudaLaunchKernelExC
0.0,2683909,7,383415.6,14086.0,4378,1811008,695949.7,cuMemAddressFree
0.0,2250499,55,40918.2,28474.0,15178,297791,38342.0,cuMemGetInfo_v2
0.0,627958,35,17941.7,2595.0,1162,181762,32436.5,cudaDeviceSynchronize
0.0,580600,35,16588.6,4919.0,3426,71895,19271.0,cudaMemGetInfo
0.0,95007,6,15834.5,17913.5,5480,24075,7649.6,cuMemAddressReserve
0.0,6813,1,6813.0,6813.0,6813,6813,0.0,cuProfilerStart

