Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.6,51859475264,200,259297376.3,259823799.5,241869445,263019751,2709314.0,"void qk_int_sv_f8_attn_kernel<(unsigned int)128, (unsigned int)64, (unsigned int)32, (unsigned int)64, (unsigned int)128, (DataType)1, (QuantGranularity)2, (QuantGranularity)2, float, (bool)1, __nv_bfloat16, (ComputeUnit)1, (MaskMode)0, (bool)0, (bool)1, (bool)0, (bool)1>(signed char *, signed char *, signed char *, T11 *, float *, float *, float *, float *, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float)"
10.2,11149010069,600,18581683.4,16938593.0,8576094,30627032,8712925.7,"void cutlass::Kernel2<cutlass::gemm::kernel::DefaultGemmWithVisitor<signed char, cutlass::layout::RowMajor, (cutlass::ComplexTransform)0, (int)16, signed char, cutlass::layout::ColumnMajor, (cutlass::ComplexTransform)0, (int)16, cutlass::bfloat16_t, cutlass::layout::RowMajor, (int)8, int, float, cutlass::arch::OpClassTensorOp, cutlass::arch::Sm80, cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::gemm::GemmShape<(int)16, (int)8, (int)32>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorAuxStore<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, cutlass::bfloat16_t, (cutlass::FloatRoundStyle)2, cute::tuple<long, cute::C<(int)1>, long>>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorCompute<cutlass::multiplies, cutlass::bfloat16_t, float, (cutlass::FloatRoundStyle)2, void>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorCompute<cutlass::multiplies, float, float, (cutlass::FloatRoundStyle)2, void>, cutlass::epilogue::threadblock::VisitorAccFetch, cutlass::epilogue::threadblock::VisitorColBroadcast<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, float, cute::tuple<cute::C<(int)1>, cute::C<(int)0>, int>, (bool)1>>, cutlass::epilogue::threadblock::VisitorRowBroadcast<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, float, cute::tuple<cute::C<(int)0>, cute::C<(int)1>, int>, (bool)1>>>, <unnamed>::ThreadblockSwizzleLeanStreamK, (int)3, cutlass::arch::OpMultiplyAddSaturate, (int)1>::SelectBase<<unnamed>::ThreadblockSwizzleLeanStreamK, void>>(T1::Params)"
8.9,9724357423,42728,227587.5,264673.0,77377,341858,106369.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_tn_align8>(T1::Params)
8.5,9257428285,14112,655996.9,656516.0,594020,664644,5023.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Params)
7.7,8387042143,200,41935210.7,41986119.0,40867877,42394007,273869.2,"void cutlass::Kernel2<cutlass::gemm::kernel::DefaultGemmWithVisitor<signed char, cutlass::layout::RowMajor, (cutlass::ComplexTransform)0, (int)16, signed char, cutlass::layout::ColumnMajor, (cutlass::ComplexTransform)0, (int)16, cutlass::bfloat16_t, cutlass::layout::RowMajor, (int)8, int, float, cutlass::arch::OpClassTensorOp, cutlass::arch::Sm80, cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::gemm::GemmShape<(int)16, (int)8, (int)32>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorAuxStore<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, cutlass::bfloat16_t, (cutlass::FloatRoundStyle)2, cute::tuple<long, cute::C<(int)1>, long>>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorCompute<cutlass::multiplies, cutlass::bfloat16_t, float, (cutlass::FloatRoundStyle)2, void>, cutlass::epilogue::threadblock::TreeVisitor2x<cutlass::epilogue::threadblock::VisitorCompute<cutlass::multiplies, float, float, (cutlass::FloatRoundStyle)2, void>, cutlass::epilogue::threadblock::VisitorAccFetch, cutlass::epilogue::threadblock::VisitorColBroadcast<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, float, cute::tuple<cute::C<(int)1>, cute::C<(int)0>, int>, (bool)1>>, cutlass::epilogue::threadblock::VisitorRowBroadcast<cutlass::epilogue::threadblock::OutputTileThreadLayout<cutlass::gemm::GemmShape<(int)128, (int)256, (int)64>, cutlass::gemm::GemmShape<(int)64, (int)64, (int)64>, cutlass::bfloat16_t, (int)8, (int)1>, float, cute::tuple<cute::C<(int)0>, cute::C<(int)1>, int>, (bool)1>>>, cutlass::gemm::threadblock::GemmIdentityThreadblockSwizzle<(int)1>, (int)3, cutlass::arch::OpMultiplyAddSaturate, (int)1>::SelectBase<cutlass::gemm::threadblock::GemmIdentityThreadblockSwizzle<(int)1>, void>>(T1::Params)"
2.8,3048661211,1062,2870679.1,2926002.0,12704,3958041,1090634.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.0,2176668222,14112,154242.4,154337.0,142913,155329,889.4,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)"
1.1,1195098644,174,6868383.0,11271120.5,723333,11452978,5228211.9,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(T1::Params)
1.0,1083085637,600,1805142.7,1741994.5,1554251,1997165,133875.4,"void comfy::<unnamed>::quantize_int8_rowwise_convrot64_kernel<__nv_bfloat16, (int)1024, (bool)0, (int)0>(const T1 *, signed char *, float *, int, unsigned long)"
0.9,1025666965,400,2564167.4,2566561.5,2166576,2961619,371310.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)
