phase_id,phase,metric,domain,mean,p95,peak,coverage_pct
1,node/VAELoader,rss_bytes,Host,,,33600487424,
1,node/VAELoader,pss_bytes,Host,,,32928410624,
1,node/VAELoader,uss_bytes,Host,,,32905506816,
1,node/VAELoader,system_used_bytes,Host,,,40243441664,
1,node/VAELoader,system_cached_bytes,Host,,,6758797312,
1,node/VAELoader,gpu_memory_bytes,Host,,,21073625088,
1,node/VAELoader,cpu_percent,Host,,,190.2,
1,node/VAELoader,system_cpu_percent,Host,,,15.0,
1,node/VAELoader,gpu_power_w,Host,,,171.244,
1,node/VAELoader,gpu_temp_c,Host,,,64,
1,node/VAELoader,swap_used_bytes,Host,,,434962432,
1,node/VAELoader,disk_reads,Host,,,0,
1,node/VAELoader,sm_active,Host,0.0,0.0,0.0,100.0
1,node/VAELoader,tensor_active,Host,0.0,0.0,0.0,100.0
1,node/VAELoader,dram_read,Host,0.12303251206065155,1.0,1.0,100.0
1,node/VAELoader,dram_write,Host,1.2684884785494617,19.0,24.0,100.0
1,node/VAELoader,gpc_clock,Host,2875.9923007155503,2886.149091,2901.768182,100.0
1,node/VAELoader,pcie_rx,Host,0.16825905750079861,1.0,1.0,100.0
1,node/VAELoader,pcie_tx,Host,1.0,1.0,1.0,100.0
2,node/VAELoader,rss_bytes,Host,,,6168662016,
2,node/VAELoader,pss_bytes,Host,,,,
2,node/VAELoader,uss_bytes,Host,,,,
2,node/VAELoader,system_used_bytes,Host,,,13229588480,
2,node/VAELoader,system_cached_bytes,Host,,,6763593728,
2,node/VAELoader,gpu_memory_bytes,Host,,,1362493440,
2,node/VAELoader,cpu_percent,Host,,,387.2,
2,node/VAELoader,system_cpu_percent,Host,,,13.1,
2,node/VAELoader,gpu_power_w,Host,,,171.244,
2,node/VAELoader,gpu_temp_c,Host,,,64,
2,node/VAELoader,swap_used_bytes,Host,,,434962432,
2,node/VAELoader,disk_reads,Host,,,0,
2,node/VAELoader,sm_active,Host,0.0,0.0,0.0,100.0
2,node/VAELoader,tensor_active,Host,0.0,0.0,0.0,100.0
2,node/VAELoader,dram_read,Host,0.15823703051058252,1.0,1.0,100.0
2,node/VAELoader,dram_write,Host,0.031188876150983275,0.0,1.0,100.0
2,node/VAELoader,gpc_clock,Host,2875.239254460327,2885.094043,2886.588182,100.0
2,node/VAELoader,pcie_rx,Host,0.013862190522472681,0.0,1.0,100.0
2,node/VAELoader,pcie_tx,Host,1.0,1.0,1.0,100.0
